company_name,financial_score,rating
Infosys Ltd,83.26899509803923,Excellent
Infosys Ltd,77.80024509803923,Strong
Infosys Ltd,71.55024509803921,Strong
SBI Life Insurance Company Ltd,66.7095588235294,Strong
Infosys Ltd,65.30024509803921,Strong
HDFC Bank Ltd,63.897058823529406,Strong
SBI Life Insurance Company Ltd,60.459558823529406,Strong
HDFC Bank Ltd,57.647058823529406,Average
Tata Consultancy Services Ltd,56.602328431372555,Average
SBI Life Insurance Company Ltd,55.772058823529406,Average
HDFC Bank Ltd,51.397058823529406,Average
Tata Consultancy Services Ltd,49.571078431372555,Average
SBI Life Insurance Company Ltd,48.740808823529406,Average
HDFC Bank Ltd,45.147058823529406,Average
Tata Consultancy Services Ltd,41.758578431372555,Average
Tata Consultancy Services Ltd,36.289828431372555,Weak
Abbott India Ltd,,Weak
Adani Energy Solutions Ltd,,Weak
Adani Enterprises Ltd,,Weak
Adani Green Energy Ltd,,Weak
"Adani Ports & Special Economic Zone Ltd
",,Weak
Adani Power Ltd,,Weak
Ambuja Cements Ltd,,Weak
"Apollo Hospitals
Chain of Indian private hospitals",,Weak
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",,Weak
Adani Total Gas Ltd,,Weak
Axis Bank Ltd,,Weak
Bajaj Auto Ltd,,Weak
Bajaj Finserv Ltd,,Weak
Bajaj Holdings & Investment Ltd,,Weak
Bajaj Finance Ltd,,Weak
Bank of Baroda,,Weak
Bharat Electronics Ltd,,Weak
Bharti Airtel Ltd,,Weak
"Bharat Heavy Electricals Limited
",,Weak
Bosch Ltd,,Weak
Bharat Petroleum Corporation Ltd,,Weak
Britannia Industries Ltd,,Weak
Canara Bank,,Weak
Cholamandalam Investment & Finance Company Ltd,,Weak
"Cipla Ltd
",,Weak
Coal India Ltd,,Weak
Dabur India Ltd,,Weak
Divis Laboratories Ltd,,Weak
DLF Ltd,,Weak
Avenue Supermarts Ltd,,Weak
Dr Reddys Laboratories Ltd,,Weak
Eicher Motors Ltd,,Weak
GAIL (India) Ltd,,Weak
Godrej Consumer Products Ltd,,Weak
Grasim Industries Ltd,,Weak
Hindustan Aeronautics Ltd,,Weak
Havells India Ltd,,Weak
HCL Technologies Ltd,,Weak
HDFC Life Insurance Company Ltd,,Weak
"Hero MotoCorp Ltd
",,Weak
Hindalco Industries Ltd,,Weak
"Hindustan Unilever Ltd
",,Weak
ICICI Bank Ltd,,Weak
ICICI Lombard General Insurance Company Ltd,,Weak
ICICI Prudential Life Insurance Company Ltd,,Weak
Interglobe Aviation Ltd,,Weak
IndusInd Bank Ltd,,Weak
"Indian Oil Corporation
",,Weak
Indian Railway Catering & Tourism Corporation Ltd,,Weak
Indian Railway Finance Corporation Ltd,,Weak
"ITC Ltd
",,Weak
Jindal Steel & Power Ltd,,Weak
Jio Financial Services Ltd,,Weak
JSW Energy Ltd,,Weak
JSW Steel Ltd,,Weak
"Kotak Mahindra Bank Ltd
",,Weak
Life Insurance Corporation of India,,Weak
Macrotech Developers Ltd,,Weak
Larsen & Toubro Ltd,,Weak
LTIMindtree Ltd,,Weak
"Mahindra & Mahindra Ltd
",,Weak
Maruti Suzuki India Ltd,,Weak
Samvardhana Motherson International Ltd,,Weak
Info Edge (India) Ltd,,Weak
Nestle India Ltd,,Weak
"NHPC Ltd
",,Weak
NTPC Ltd,,Weak
Oil & Natural Gas Corpn Ltd,,Weak
Power Finance Corporation Ltd,,Weak
Pidilite Industries Ltd,,Weak
Punjab National Bank,,Weak
Power Grid Corporation of India Ltd,,Weak
REC Ltd,,Weak
"Reliance Industries Ltd
",,Weak
State Bank of India,,Weak
Shree Cement Ltd,,Weak
"Shriram Finance Ltd
",,Weak
Siemens Ltd,,Weak
Sun Pharmaceuticals Industries Ltd,,Weak
Tata Consumer Products Ltd,,Weak
Tata Motors Ltd,,Weak
"Tata Power Company Ltd
",,Weak
"Tata Steel Ltd
",,Weak
Tech Mahindra Ltd,,Weak
"Titan Company Ltd
",,Weak
Torrent Pharmaceuticals Ltd,,Weak
Trent Ltd,,Weak
TVS Motor Company Ltd,,Weak
